user,restaurant,rating,review
user_65,Restaurant_F,3,The food here is mild and great. Loved it!
user_177,Restaurant_D,3,"The atmosphere was nice, but the food was bitter and poor."
user_47,Restaurant_I,5,"The atmosphere was nice, but the food was bitter and poor."
user_187,Restaurant_C,4,Terrible experience. The food was mild and excellent.
user_40,Restaurant_B,4,"Decent place. The food was mild, but the great service could be better."
user_155,Restaurant_F,2,"The food was bitter, but the excellent ambiance made up for it."
user_82,Restaurant_B,3,I didn't like the food here. It was too bland for my taste.
user_2,Restaurant_I,4,"The atmosphere was nice, but the food was bland and poor."
user_195,Restaurant_F,1,Terrible experience. The food was bland and poor.
user_191,Restaurant_F,4,I didn't like the food here. It was too mild for my taste.
user_112,Restaurant_I,4,"The food was bitter, but the average ambiance made up for it."
user_143,Restaurant_G,3,Not coming back here. The food was spicy and the place was average.
user_122,Restaurant_J,3,This place was amazing! The food was salty and average.
user_174,Restaurant_I,4,This place was amazing! The food was mild and excellent.
user_89,Restaurant_I,5,The food here is bitter and poor. Loved it!
user_74,Restaurant_E,2,"Decent place. The food was bland, but the poor service could be better."
user_169,Restaurant_B,1,Terrible experience. The food was mild and terrible.
user_76,Restaurant_F,1,"The atmosphere was nice, but the food was spicy and excellent."
user_170,Restaurant_A,4,This place was amazing! The food was bitter and poor.
user_18,Restaurant_B,1,"Decent place. The food was mild, but the poor service could be better."
user_185,Restaurant_A,1,Not coming back here. The food was bitter and the place was poor.
user_93,Restaurant_E,4,This place was amazing! The food was bland and average.
user_148,Restaurant_F,2,Not coming back here. The food was salty and the place was great.
user_100,Restaurant_C,4,One of the best places I've been to! The food was bitter and great.
user_23,Restaurant_D,1,Highly recommend this place! The food was mild and the service was terrible.
user_84,Restaurant_J,3,This place was amazing! The food was bland and poor.
user_103,Restaurant_E,2,Terrible experience. The food was mild and great.
user_125,Restaurant_G,3,One of the best places I've been to! The food was bitter and excellent.
user_115,Restaurant_A,2,Not coming back here. The food was bitter and the place was average.
user_82,Restaurant_H,2,Terrible experience. The food was bitter and great.
user_27,Restaurant_B,1,This place was amazing! The food was bland and excellent.
user_98,Restaurant_A,4,This place was amazing! The food was spicy and poor.
user_2,Restaurant_B,4,Not coming back here. The food was bland and the place was average.
user_168,Restaurant_B,2,I didn't like the food here. It was too salty for my taste.
user_107,Restaurant_A,2,One of the best places I've been to! The food was mild and terrible.
user_139,Restaurant_A,1,The food here is bitter and great. Loved it!
user_88,Restaurant_I,1,I didn't like the food here. It was too spicy for my taste.
user_17,Restaurant_F,4,Not coming back here. The food was salty and the place was average.
user_11,Restaurant_B,4,"The food was salty, but the average ambiance made up for it."
user_53,Restaurant_F,3,"The atmosphere was nice, but the food was bland and great."
user_36,Restaurant_J,1,One of the best places I've been to! The food was spicy and great.
user_77,Restaurant_G,4,"The atmosphere was nice, but the food was bland and average."
user_166,Restaurant_A,1,"The food was spicy, but the poor ambiance made up for it."
user_177,Restaurant_I,5,Highly recommend this place! The food was bitter and the service was excellent.
user_189,Restaurant_E,2,Terrible experience. The food was salty and average.
user_106,Restaurant_A,2,Terrible experience. The food was mild and poor.
user_88,Restaurant_G,4,This place was amazing! The food was mild and great.
user_116,Restaurant_F,5,Highly recommend this place! The food was bitter and the service was excellent.
user_8,Restaurant_H,5,This place was amazing! The food was bitter and poor.
user_48,Restaurant_G,4,Not coming back here. The food was mild and the place was poor.
user_153,Restaurant_I,5,"The atmosphere was nice, but the food was spicy and poor."
user_120,Restaurant_E,5,This place was amazing! The food was bitter and average.
user_164,Restaurant_F,5,I didn't like the food here. It was too spicy for my taste.
user_31,Restaurant_D,5,Highly recommend this place! The food was salty and the service was great.
user_64,Restaurant_D,3,This place was amazing! The food was mild and great.
user_105,Restaurant_F,5,This place was amazing! The food was salty and average.
user_174,Restaurant_C,4,Terrible experience. The food was bland and terrible.
user_142,Restaurant_I,4,"Decent place. The food was bland, but the great service could be better."
user_193,Restaurant_E,2,This place was amazing! The food was bitter and excellent.
user_199,Restaurant_G,5,Highly recommend this place! The food was salty and the service was average.
user_115,Restaurant_C,2,Highly recommend this place! The food was bitter and the service was poor.
user_127,Restaurant_D,2,Highly recommend this place! The food was salty and the service was average.
user_122,Restaurant_J,1,This place was amazing! The food was spicy and terrible.
user_112,Restaurant_G,5,Not coming back here. The food was salty and the place was average.
user_153,Restaurant_D,4,Not coming back here. The food was salty and the place was great.
user_54,Restaurant_C,5,Not coming back here. The food was bland and the place was great.
user_25,Restaurant_J,2,The food here is spicy and excellent. Loved it!
user_119,Restaurant_A,3,Not coming back here. The food was bitter and the place was excellent.
user_124,Restaurant_I,4,Highly recommend this place! The food was bland and the service was average.
user_131,Restaurant_A,1,I didn't like the food here. It was too spicy for my taste.
user_47,Restaurant_G,5,Terrible experience. The food was bitter and excellent.
user_21,Restaurant_H,4,Terrible experience. The food was bland and terrible.
user_171,Restaurant_F,2,Terrible experience. The food was mild and poor.
user_194,Restaurant_G,1,One of the best places I've been to! The food was salty and terrible.
user_164,Restaurant_J,5,One of the best places I've been to! The food was spicy and average.
user_144,Restaurant_B,4,Not coming back here. The food was bland and the place was terrible.
user_146,Restaurant_C,4,"Decent place. The food was salty, but the average service could be better."
user_77,Restaurant_I,5,"Decent place. The food was bitter, but the poor service could be better."
user_165,Restaurant_J,1,Terrible experience. The food was bitter and average.
user_194,Restaurant_C,5,"The food was bland, but the average ambiance made up for it."
user_70,Restaurant_C,5,Terrible experience. The food was mild and terrible.
user_159,Restaurant_E,5,"Decent place. The food was salty, but the terrible service could be better."
user_157,Restaurant_H,3,"The atmosphere was nice, but the food was salty and great."
user_140,Restaurant_F,5,"The food was bitter, but the average ambiance made up for it."
user_75,Restaurant_I,4,Not coming back here. The food was spicy and the place was excellent.
user_88,Restaurant_J,2,I didn't like the food here. It was too bitter for my taste.
user_158,Restaurant_H,4,"The atmosphere was nice, but the food was spicy and poor."
user_16,Restaurant_F,3,Terrible experience. The food was bland and excellent.
user_160,Restaurant_G,1,The food here is bitter and poor. Loved it!
user_40,Restaurant_H,4,I didn't like the food here. It was too bland for my taste.
user_69,Restaurant_I,2,Terrible experience. The food was bland and terrible.
user_4,Restaurant_I,5,This place was amazing! The food was spicy and excellent.
user_42,Restaurant_G,2,Terrible experience. The food was spicy and average.
user_104,Restaurant_E,2,One of the best places I've been to! The food was bland and great.
user_90,Restaurant_J,4,Highly recommend this place! The food was spicy and the service was excellent.
user_191,Restaurant_I,5,Highly recommend this place! The food was bland and the service was average.
user_90,Restaurant_I,4,Not coming back here. The food was salty and the place was average.
user_11,Restaurant_J,1,"Decent place. The food was salty, but the excellent service could be better."
user_42,Restaurant_B,4,"Decent place. The food was spicy, but the terrible service could be better."
user_70,Restaurant_F,3,This place was amazing! The food was spicy and terrible.
user_63,Restaurant_I,2,One of the best places I've been to! The food was bland and great.
user_21,Restaurant_D,1,I didn't like the food here. It was too mild for my taste.
user_21,Restaurant_I,1,"The food was mild, but the poor ambiance made up for it."
user_145,Restaurant_H,3,This place was amazing! The food was bitter and great.
user_186,Restaurant_G,4,"The atmosphere was nice, but the food was salty and great."
user_20,Restaurant_F,3,"Decent place. The food was spicy, but the poor service could be better."
user_75,Restaurant_F,3,Highly recommend this place! The food was salty and the service was average.
user_38,Restaurant_D,3,"The atmosphere was nice, but the food was salty and excellent."
user_200,Restaurant_F,2,Not coming back here. The food was spicy and the place was average.
user_5,Restaurant_E,3,The food here is mild and poor. Loved it!
user_31,Restaurant_F,3,Not coming back here. The food was salty and the place was terrible.
user_7,Restaurant_A,5,I didn't like the food here. It was too salty for my taste.
user_179,Restaurant_H,5,I didn't like the food here. It was too mild for my taste.
user_25,Restaurant_A,5,"The food was bland, but the average ambiance made up for it."
user_126,Restaurant_C,4,The food here is bitter and terrible. Loved it!
user_7,Restaurant_G,3,One of the best places I've been to! The food was bland and terrible.
user_64,Restaurant_G,5,Not coming back here. The food was mild and the place was average.
user_88,Restaurant_G,5,"Decent place. The food was spicy, but the great service could be better."
user_122,Restaurant_J,4,"The atmosphere was nice, but the food was spicy and average."
user_100,Restaurant_G,5,Highly recommend this place! The food was bitter and the service was average.
user_101,Restaurant_E,4,One of the best places I've been to! The food was salty and great.
user_152,Restaurant_E,4,Highly recommend this place! The food was mild and the service was great.
user_117,Restaurant_C,1,"The atmosphere was nice, but the food was bitter and excellent."
user_12,Restaurant_E,2,Not coming back here. The food was salty and the place was poor.
user_83,Restaurant_C,5,"The atmosphere was nice, but the food was mild and great."
user_40,Restaurant_I,3,"Decent place. The food was mild, but the great service could be better."
